spend_date,race_id,race_name,candidate_name,support_oppose,amount,payee_name,purpose,pdf_url
2026-09-08,2026-S-ME,ME Senate (2026),Susan M. Collins,support,15525.00,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179039
2026-09-08,2026-S-ME,ME Senate (2026),Troy Jackson,oppose,14556.30,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179039
2026-09-08,2026-S-ME,ME Senate (2026),Susan M. Collins,support,14556.30,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179038
2026-09-08,2026-H-IA-03,IA-03 (2026),Zachary Nunn,support,16676.07,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179038
2026-09-08,2026-S-IA,IA Senate (2026),Ashley Hinson,support,16676.08,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179037
2026-09-08,2026-H-IA-02,IA-02 (2026),Joe Mitchell,support,14792.70,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179037
2026-09-08,2026-S-IA,IA Senate (2026),Ashley Hinson,support,14792.70,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179036
2026-09-08,2026-H-IA-01,IA-01 (2026),Mariannette Miller-Meeks,support,15923.05,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179036
2026-09-08,2026-S-IA,IA Senate (2026),Ashley Hinson,support,15923.05,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179035
2026-09-08,2026-S-IA,IA Senate (2026),Josh Turek,oppose,19746.00,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179035
2026-09-08,2026-S-IA,IA Senate (2026),Ashley Hinson,support,19746.00,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179034
2026-09-08,2026-S-AK,AK Senate (2026),Dan Sullivan,support,22251.90,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179034
2026-09-08,2026-S-OH,OH Senate (2026),Sherrod Brown,oppose,292172.65,RED ZONE STRATEGIC LLC,PRINTING/POSTAGE,https://docquery.fec.gov/cgi-bin/fecimg/?202609089904114933
2026-09-08,2026-S-OH,OH Senate (2026),Jon Husted,support,292172.65,RED ZONE STRATEGIC LLC,PRINTING/POSTAGE,https://docquery.fec.gov/cgi-bin/fecimg/?202609089904114932
2026-09-08,2026-S-MI,MI Senate (2026),Abdul El-Sayed,oppose,197742.56,RED ZONE STRATEGIC LLC,PRINTING,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103647
2026-09-08,2026-S-MI,MI Senate (2026),Mike Rogers,support,197742.57,RED ZONE STRATEGIC LLC,PRINTING,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103646
2026-09-08,2026-S-AK,AK Senate (2026),Mary Peltola,oppose,20384.50,THE BAKER GROUP LLC,PRINTING/POSTAGE,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103648
2026-09-08,2026-S-AK,AK Senate (2026),Dan Sullivan,support,20384.50,THE BAKER GROUP LLC,PRINTING/POSTAGE,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103647
2026-09-07,2026-S-AK,AK Senate (2026),Mary Peltola,oppose,1647.17,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103651
2026-09-06,2026-S-NH,NH Senate (2026),Chris Pappas,oppose,73479.61,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609089904114932
2026-09-06,2026-S-ME,ME Senate (2026),Troy Jackson,oppose,43991.95,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609089904114931
2026-09-06,2026-S-ME,ME Senate (2026),Susan M. Collins,support,43991.96,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609089904114931
2026-09-06,2026-S-MI,MI Senate (2026),Abdul El-Sayed,oppose,304261.17,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609089904114930
2026-09-06,2026-S-MI,MI Senate (2026),Mike Rogers,support,304261.17,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609089904114930
2026-09-06,2026-S-OH,OH Senate (2026),Sherrod Brown,oppose,35968.18,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103650
